Workout #,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C
,6,5,4,3,2,Neg,6,5,4,3,2,Neg,6,5,F,3,2,Neg,5,3,F,3,1,Neg,5,3,F,3,2,1,5,3,F,3,2,1,5,3,2,3,2,1
1RM
270,210,225,235,230,250,275,215,225,240,240,255,285,220,230,245,245,260,290,230,250,250,250,270,295,235,255,255,255,275,285,240,260,260,255,270,290,245,265,285,260,280,295
275,215,230,240,235,255,280,215,230,245,245,260,290,220,235,250,250,265,295,230,250,255,255,275,300,240,260,260,260,280,290,245,265,265,260,275,295,250,270,290,265,285,300
280,220,235,245,240,260,285,220,235,250,250,265,295,225,240,255,255,270,300,235,255,260,260,280,305,240,260,265,260,285,295,245,270,270,260,280,300,250,275,295,270,290,305
285,225,235,245,245,265,290,225,240,255,255,270,300,230,245,260,260,275,305,240,260,265,265,285,315,245,270,270,270,290,300,250,275,275,270,290,305,260,285,300,275,295,310
290,225,240,250,250,270,300,230,245,260,260,275,305,235,250,265,265,280,310,245,265,270,270,290,320,250,275,275,275,295,305,255,280,280,275,295,310,260,285,305,280,300,315
295,230,245,255,255,275,305,235,250,260,265,280,310,240,250,270,270,285,315,250,270,275,275,295,325,255,275,280,275,300,310,260,285,285,275,300,315,265,290,310,285,305,320
300,235,250,260,260,280,310,240,255,265,265,285,315,245,255,275,275,290,320,255,275,280,280,300,330,260,280,285,280,305,315,265,290,290,280,300,320,270,295,315,285,310,325
305,240,255,265,265,285,315,240,260,270,270,290,320,245,260,275,275,295,330,260,280,285,285,305,335,265,285,290,285,310,320,270,290,295,285,305,325,275,300,320,290,315,330
310,245,260,270,265,290,320,245,260,275,275,295,325,250,265,280,280,300,335,260,285,290,290,310,340,270,290,295,290,315,325,275,295,300,290,310,330,280,305,325,295,320,335
315,250,265,275,270,295,325,250,265,280,280,300,330,255,270,285,285,305,340,265,290,295,290,315,345,270,295,300,295,320,330,275,300,305,295,315,335,285,310,330,300,320,340
